universe,feature,coverage_pct,ticker_coverage_pct
sp100_sample,roe,0.9654575704194025,1.0
sp100_sample,eps_growth_yoy,0.9161328493389562,1.0
sp100_sample,pe_ratio,0.9654575704194025,1.0
sp100_sample,pb_ratio,0.9654575704194025,1.0
sp100_sample,beta_to_spy_63d,0.9674727308315094,1.0
sp100_sample,downside_vol_63d,0.9674727308315094,1.0
sp100_sample,max_drawdown_63d,0.9676684638516699,1.0
sp100_sample,mom_stability_3m,0.9876688197298884,1.0
sp100_sample,debt_to_equity,0.0,0.0
sp100_sample,debt_to_assets,0.0,0.0
sp100_sample,interest_coverage,0.0,0.0
sp100_sample,operating_cash_flow,0.0,0.0
sp100_sample,accruals,0.0,0.0
sp100_sample,gross_margin,0.0,0.0
sp100_sample,analyst_revisions,0.0,0.0
sp500_dynamic,roe,0.08445354492734336,0.0874751491053678
sp500_dynamic,eps_growth_yoy,0.08013885759625064,0.0874751491053678
sp500_dynamic,pe_ratio,0.08445354492734336,0.0874751491053678
sp500_dynamic,pb_ratio,0.08445354492734336,0.0874751491053678
sp500_dynamic,beta_to_spy_63d,0.9047149866508524,1.0
sp500_dynamic,downside_vol_63d,0.9047149866508524,1.0
sp500_dynamic,max_drawdown_63d,0.9049111088022657,1.0
sp500_dynamic,mom_stability_3m,0.9876688197298884,1.0
sp500_dynamic,debt_to_equity,0.0,0.0
sp500_dynamic,debt_to_assets,0.0,0.0
sp500_dynamic,interest_coverage,0.0,0.0
sp500_dynamic,operating_cash_flow,0.0,0.0
sp500_dynamic,accruals,0.0,0.0
sp500_dynamic,gross_margin,0.0,0.0
sp500_dynamic,analyst_revisions,0.0,0.0
