universe,vol_sleeve,defensive_sleeve,ticker_overlap_pct,sector_overlap_pct,n_rebalances
sp100_sample,vol_top_10,defensive_stability_top_30_equal_weight,0.6623430962343095,1.0,239
sp100_sample,vol_top_10,defensive_stability_top_50_equal_weight,1.0,1.0,239
sp100_sample,vol_top_10,defensive_stability_top_30_beta_0_6,0.6623430962343095,1.0,239
sp100_sample,vol_top_10,defensive_stability_top_50_beta_0_6,1.0,1.0,239
sp100_sample,vol_top_10,defensive_stability_top_30_beta_0_8,0.6623430962343095,1.0,239
sp100_sample,vol_top_10,defensive_stability_top_50_beta_0_8,1.0,1.0,239
sp100_sample,vol_top_20,defensive_stability_top_30_equal_weight,0.6914225941422595,1.0,239
sp100_sample,vol_top_20,defensive_stability_top_50_equal_weight,1.0,1.0,239
sp100_sample,vol_top_20,defensive_stability_top_30_beta_0_6,0.6914225941422595,1.0,239
sp100_sample,vol_top_20,defensive_stability_top_50_beta_0_6,1.0,1.0,239
sp100_sample,vol_top_20,defensive_stability_top_30_beta_0_8,0.6914225941422595,1.0,239
sp100_sample,vol_top_20,defensive_stability_top_50_beta_0_8,1.0,1.0,239
sp500_dynamic,vol_top_10,defensive_stability_top_30_equal_weight,0.019246861924686196,0.9984658298465829,239
sp500_dynamic,vol_top_10,defensive_stability_top_50_equal_weight,0.04811715481171548,1.0,239
sp500_dynamic,vol_top_10,defensive_stability_top_30_beta_0_6,0.019246861924686196,0.9984658298465829,239
sp500_dynamic,vol_top_10,defensive_stability_top_50_beta_0_6,0.04811715481171548,1.0,239
sp500_dynamic,vol_top_10,defensive_stability_top_30_beta_0_8,0.019246861924686196,0.9984658298465829,239
sp500_dynamic,vol_top_10,defensive_stability_top_50_beta_0_8,0.04811715481171548,1.0,239
sp500_dynamic,vol_top_20,defensive_stability_top_30_equal_weight,0.023849372384937242,0.9987796373779638,239
sp500_dynamic,vol_top_20,defensive_stability_top_50_equal_weight,0.05753138075313808,1.0,239
sp500_dynamic,vol_top_20,defensive_stability_top_30_beta_0_6,0.023849372384937242,0.9987796373779638,239
sp500_dynamic,vol_top_20,defensive_stability_top_50_beta_0_6,0.05753138075313808,1.0,239
sp500_dynamic,vol_top_20,defensive_stability_top_30_beta_0_8,0.023849372384937242,0.9987796373779638,239
sp500_dynamic,vol_top_20,defensive_stability_top_50_beta_0_8,0.05753138075313808,1.0,239
